Ticket_ID,Fecha_Apertura,Fecha_Cierre,Categoria,Prioridad,Estado,Tecnico_Asignado,Usuario_Solicitante,Costo_Reparacion_USD
TCK-1036,2026-01-19 08:00:00,,Laptops / Equipos,Critical,Abierto,Carlos Mendoza,  consuelo gladys torres  ,122.31
TCK-1037,2026-03-31 09:00:00,2026-04-01 09:00:00,Redes y Accesos,Media,Resuelto,Sofia Ramos,Eder Robinson Castaño,0.0
TCK-1038,2026-06-06 16:00:00,2026-06-08 04:00:00,Redes y Accesos,,Cerrado,Carlos Mendoza,Carlos Barreto Cabrera,0.0
TCK-1039,2026-01-30 09:00:00,2026-01-30 19:00:00,Redes y Accesos,Baja,CERRADO, Sin Asignar ,Germán Pablo Ramírez Gómez,0.0
TCK-1040,2026-06-25 12:00:00,2026-06-26 20:00:00,Redes y Accesos,Alta,CERRADO,Carlos Mendoza,Johan Andrés Silva,0.0
TCK-1041,2026-01-12 08:00:00,,hardware,Media,En Proceso,carlos mendoza,William Arias,97.56
TCK-1042,2026-06-30 14:00:00,2026-06-30 15:00:00,Hardware,Alta,CERRADO,carlos mendoza,Lilia Consuelo Osorio Espinosa,281.88
TCK-1043,2026-05-30 16:00:00,2026-05-31 20:00:00,Software,Alta,Resuelto,Luis Gómez,Andrea Ceballos Castro,0.0
TCK-1044,2026-01-11 13:00:00,2026-01-12 05:00:00,SOFTWARE,Alta,Resuelto,Luis Gómez,Sandra Ruiz Guzmán,0.0
TCK-1045,2026-04-15 17:00:00,2026-04-16 09:00:00,hardware,Media,Resuelto,Ana Torres,Marly Villamil,31.9
TCK-1046,2026-03-27 14:00:00,2026-03-28 08:00:00,Software,,Resuelto,Carlos Mendoza,Juan Acosta Rosero,
TCK-1047,2026-05-01 11:00:00,2026-05-02 17:00:00,Redes y Accesos,Baja,Resuelto,Ana Torres,Mery Forero,0.0
TCK-1048,2026-04-13 13:00:00,,hardware,Alta,En Proceso,Luis Gómez,Tulia Martha Bustos Pérez,264.51
TCK-1049,2026-05-18 13:00:00,2026-05-18 21:00:00,Redes y Accesos,Media,Cerrado, Sin Asignar ,Camilo Caicedo,0.0
TCK-1050,2026-01-28 17:00:00,,Redes y Accesos,,Abierto,Luis Gómez,Mary Karen Herrera Rojas,0.0
TCK-1051,2026-01-30 14:00:00,2026-01-31 03:00:00,Redes y Accesos,Alta,CERRADO,carlos mendoza,Claudia González,0.0
TCK-1052,2026-05-18 11:00:00,,Impresoras,Alta,En Proceso,carlos mendoza,Liliana Hilda Rodríguez,0.0
TCK-1053,2026-06-19 09:00:00,,Laptops / Equipos,Baja,En Proceso,carlos mendoza,Jacqueline Camacho Olaya,213.15
TCK-1054,2026-02-02 11:00:00,,SOFTWARE,ALTA,Abierto,carlos mendoza,Gabriel Arias,0.0
TCK-1055,2026-05-26 12:00:00,,Laptops / Equipos,Alta,Abierto,Luis Gómez,Luis Mosquera Romero,226.35
TCK-1056,2026-06-17 13:00:00,,Impresoras,ALTA,Abierto,carlos mendoza,Hernán Edilberto Pérez,0.0
TCK-1057,2026-02-13 09:00:00,,Laptops / Equipos,,En Proceso,carlos mendoza,Luis Mauricio Aguirre Cruz,64.83
TCK-1058,2026-03-02 12:00:00,2026-03-03 01:00:00,Software,Alta,Resuelto,Carlos Mendoza,Lisbeth Jessica Amaya González,0.0
TCK-1059,2026-01-19 15:00:00,,SOFTWARE,Critical,Abierto,Ana Torres,William Cristian Zambrano Flórez,0.0
TCK-1060,2026-04-13 11:00:00,2026-04-13 12:00:00,hardware,Alta,Resuelto,Sofia Ramos,Alexandra Leal Pérez,405.97
TCK-1061,2026-04-29 08:00:00,2026-04-30 00:00:00,hardware,Alta,CERRADO,Sofia Ramos,  paola soto lópez  ,243.03
TCK-1062,2026-05-24 17:00:00,,hardware,ALTA,En Proceso, Sin Asignar ,Carlos Jesús García,448.17
TCK-1063,2026-05-21 15:00:00,2026-05-22 22:00:00,Impresoras,Baja,Resuelto,Ana Torres,Reinel Carlos Bravo Gómez,0.0
TCK-1064,2026-05-14 15:00:00,2026-05-15 09:00:00,Impresoras,Alta,Resuelto,carlos mendoza,Patricia Garzón Mosquera,0.0
TCK-1065,2026-03-23 16:00:00,2026-03-24 01:00:00,Software,Media,Cerrado,Sofia Ramos,Víctor Juan Galvis,0.0
TCK-1066,2026-01-17 14:00:00,,Redes y Accesos,Critical,Abierto,Sofia Ramos,Yéssica Milena González Ríos,0.0
TCK-1067,2026-04-18 14:00:00,2026-04-18 16:00:00,hardware,Critical,CERRADO,Sofia Ramos,Fernanda Andrea Gutiérrez Arenas,472.52
TCK-1068,2026-04-10 14:00:00,2026-04-12 01:00:00,hardware,Critical,CERRADO,Ana Torres,Roberto Fuentes Granados,151.01
TCK-1069,2026-04-10 13:00:00,,SOFTWARE,Media,Abierto,Sofia Ramos,Juan José Meza Rojas,0.0
TCK-1070,2026-05-17 08:00:00,,Laptops / Equipos,Critical,Abierto,carlos mendoza,  damaris martínez  ,328.52
TCK-1071,2026-04-29 10:00:00,2026-04-30 03:00:00,Impresoras,Baja,Cerrado,Ana Torres,Luis Esteban Solano Castillo,0.0
TCK-1072,2026-04-08 12:00:00,,Redes y Accesos,Alta,Abierto,Sofia Ramos,  estela martha quintero  ,0.0
TCK-1073,2026-03-31 11:00:00,2026-03-31 14:00:00,hardware,Alta,Cerrado,Ana Torres,  luz katerine ariza  ,29.78
TCK-1074,2026-02-02 15:00:00,2026-02-03 05:00:00,Impresoras,,Cerrado,Luis Gómez,Sara Judith Durán,0.0
TCK-1075,2026-06-05 09:00:00,2026-06-06 05:00:00,Hardware,Critical,Resuelto,Carlos Mendoza,Carmen Camila Rentería,296.38
TCK-1076,2026-04-07 14:00:00,2026-04-07 19:00:00,Laptops / Equipos,,Resuelto,carlos mendoza,Orlando Moreno,354.65
TCK-1077,2026-06-25 17:00:00,2026-06-25 20:00:00,Redes y Accesos,Critical,Cerrado,Sofia Ramos,Orlando Bernal,
TCK-1078,2026-06-15 13:00:00,2026-06-16 16:00:00,hardware,ALTA,Cerrado,Carlos Mendoza,Adolfo Mendoza Pulido,193.85
TCK-1079,2026-04-28 10:00:00,,Software,,Abierto, Sin Asignar ,Mery Inés Núñez,0.0
TCK-1080,2026-05-18 15:00:00,,Impresoras,,Abierto, Sin Asignar ,Mauricio Luis Sánchez,0.0
TCK-1081,2026-01-23 12:00:00,,Software,ALTA,Abierto, Sin Asignar ,Manuel Alexander Ortiz Pérez,0.0
TCK-1082,2026-01-08 15:00:00,,Software,ALTA,En Proceso,Ana Torres,Amanda Ortiz,0.0
TCK-1083,2026-03-13 17:00:00,,Laptops / Equipos,Alta,En Proceso, Sin Asignar ,Jefferson Jorge Jiménez Zuluaga,61.09
TCK-1084,2026-05-06 16:00:00,2026-05-07 23:00:00,SOFTWARE,,Resuelto,Sofia Ramos,Luis Franco Barrios,
TCK-1085,2026-03-17 11:00:00,,SOFTWARE,Media,Abierto,Luis Gómez,José Rivas,0.0
TCK-1086,2026-05-22 16:00:00,,Impresoras,,En Proceso, Sin Asignar ,Alejandro Quintero,0.0
TCK-1087,2026-03-11 12:00:00,,Software,Alta,En Proceso,carlos mendoza,  andrés salazar pérez  ,0.0
TCK-1088,2026-05-18 10:00:00,2026-05-19 00:00:00,SOFTWARE,ALTA,Resuelto,Luis Gómez,Iván González García,0.0
TCK-1089,2026-05-15 17:00:00,,Hardware,Media,En Proceso,Luis Gómez,Ruth Mosquera Gaitán,
TCK-1090,2026-05-17 10:00:00,,Hardware,Alta,En Proceso, Sin Asignar ,Esperanza María Zambrano,473.16
TCK-1091,2026-05-06 09:00:00,2026-05-07 04:00:00,Impresoras,ALTA,Cerrado,Sofia Ramos,Danna Suárez Forero,0.0
TCK-1092,2026-03-06 15:00:00,2026-03-06 20:00:00,Impresoras,ALTA,Cerrado,Carlos Mendoza,Camilo Antonio Álvarez,0.0
TCK-1093,2026-02-08 10:00:00,2026-02-09 06:00:00,Hardware,Media,CERRADO,Carlos Mendoza,Fernando Castro,219.76
TCK-1094,2026-06-08 11:00:00,2026-06-09 12:00:00,Impresoras,ALTA,CERRADO,Luis Gómez,Eduardo Hugo Pineda,0.0
TCK-1095,2026-03-20 17:00:00,2026-03-20 21:00:00,Laptops / Equipos,,CERRADO,Carlos Mendoza,Sofía Rodríguez Patiño,119.74
TCK-1096,2026-06-19 09:00:00,2026-06-20 01:00:00,Software,Critical,Resuelto,Carlos Mendoza,  luz gil velásquez  ,0.0
TCK-1097,2026-06-26 17:00:00,,Redes y Accesos,Alta,Abierto,Ana Torres,Alfredo Hoyos Rodríguez,0.0
TCK-1098,2026-04-27 09:00:00,2026-04-28 02:00:00,hardware,,Resuelto, Sin Asignar ,David Díaz,468.16
TCK-1099,2026-05-20 11:00:00,2026-05-21 05:00:00,hardware,Media,Resuelto,Carlos Mendoza,  carlos sánchez  ,400.46
TCK-1100,2026-05-26 12:00:00,,Hardware,ALTA,Abierto,carlos mendoza,Milena Rosa Vargas,213.2
TCK-1101,2026-05-19 15:00:00,,Hardware,Critical,Abierto,Carlos Mendoza,Liceth Stella Valencia,372.58
TCK-1102,2026-01-07 09:00:00,2026-01-07 11:00:00,hardware,,Resuelto,Luis Gómez,Fernando Miguel Rojas Daza,386.29
TCK-1103,2026-05-13 15:00:00,,Software,Critical,En Proceso,Sofia Ramos,Natalia García,0.0
TCK-1104,2026-01-24 15:00:00,,Impresoras,Baja,En Proceso,Luis Gómez,Alcira María Romero Rendón,0.0
TCK-1105,2026-03-26 14:00:00,,Redes y Accesos,,Abierto,Sofia Ramos,Jesús Luis Arroyo,0.0
TCK-1106,2026-04-27 09:00:00,,Redes y Accesos,Baja,En Proceso,Carlos Mendoza,Erika Muñoz,0.0
TCK-1107,2026-05-12 08:00:00,2026-05-13 14:00:00,Impresoras,Alta,CERRADO,Ana Torres,Luz Diana Ríos Bernal,0.0
TCK-1108,2026-05-08 15:00:00,2026-05-09 05:00:00,Redes y Accesos,Critical,Cerrado,Ana Torres,Jorge Pabón Ortiz,0.0
TCK-1109,2026-06-28 15:00:00,2026-06-28 17:00:00,SOFTWARE,Critical,Cerrado,Ana Torres,Andrés Sánchez Contreras,0.0
TCK-1110,2026-01-04 16:00:00,,Hardware,Media,Abierto,Carlos Mendoza,Emilia Rubio Medina,76.38
TCK-1111,2026-05-08 12:00:00,2026-05-09 06:00:00,Impresoras,ALTA,CERRADO,Sofia Ramos,María Carmona,0.0
TCK-1112,2026-04-09 11:00:00,2026-04-10 20:00:00,SOFTWARE,Media,CERRADO,Carlos Mendoza,Elkin Jairo Mosquera,0.0
TCK-1113,2026-04-17 13:00:00,2026-04-18 07:00:00,hardware,Alta,CERRADO,Luis Gómez,William Marín Arrieta,421.99
TCK-1114,2026-06-18 15:00:00,2026-06-19 20:00:00,Laptops / Equipos,ALTA,Resuelto,Luis Gómez,Patricia Sánchez Gómez,386.18
TCK-1115,2026-03-24 11:00:00,2026-03-25 12:00:00,Software,ALTA,Resuelto,Carlos Mendoza,Julio Méndez,0.0
TCK-1116,2026-04-08 14:00:00,2026-04-09 22:00:00,Hardware,Media,Resuelto, Sin Asignar ,Stella Blanco,179.36
TCK-1117,2026-04-23 09:00:00,2026-04-24 15:00:00,Hardware,,CERRADO,Ana Torres,Diana Flórez,334.3
TCK-1118,2026-05-01 12:00:00,,Laptops / Equipos,,En Proceso,Sofia Ramos,Diego Carlos Andrade García,428.85
TCK-1119,2026-05-17 14:00:00,,SOFTWARE,,En Proceso,Sofia Ramos,Johana Marín Sánchez,
TCK-1120,2026-01-18 11:00:00,,Software,,En Proceso,Carlos Mendoza,José Luis Gómez Medina,
TCK-1121,2026-06-12 09:00:00,,Software,,Abierto,Luis Gómez,Liliana Cecilia Gutiérrez Santos,
TCK-1122,2026-01-15 12:00:00,,Redes y Accesos,ALTA,En Proceso,Ana Torres,Yuliana María Torres,0.0
TCK-1123,2026-06-24 10:00:00,2026-06-24 22:00:00,Hardware,Critical,Resuelto,Sofia Ramos,Ancizar Álvaro García Lara,135.6
TCK-1124,2026-02-06 11:00:00,,SOFTWARE,Baja,Abierto,Sofia Ramos,William Padilla Martínez,
TCK-1125,2026-04-30 12:00:00,2026-04-30 23:00:00,Hardware,ALTA,CERRADO,Luis Gómez,Arturo Fernando Nieto,163.59
TCK-1126,2026-06-26 12:00:00,,hardware,Baja,Abierto,Ana Torres,Carolina Burgos,429.6
TCK-1127,2026-04-08 17:00:00,,Laptops / Equipos,Baja,En Proceso,carlos mendoza,Rosa Leidy Ballesteros Quiroga,489.41
TCK-1128,2026-03-12 08:00:00,2026-03-12 12:00:00,Laptops / Equipos,,CERRADO,Sofia Ramos,Oswaldo Jaime Sierra,453.41
TCK-1129,2026-02-28 17:00:00,,Software,,En Proceso,Ana Torres,Luis Santos,0.0
TCK-1130,2026-06-18 10:00:00,2026-06-18 13:00:00,Redes y Accesos,ALTA,Cerrado,Carlos Mendoza,María Karol Ramírez Salamanca,0.0
TCK-1131,2026-01-24 12:00:00,,SOFTWARE,ALTA,En Proceso,Ana Torres,Roberto Eduardo Rojas Hernández,0.0
TCK-1132,2026-04-04 16:00:00,2026-04-05 10:00:00,hardware,Media,CERRADO,Luis Gómez,Fabián Carlos Arias Figueroa,473.21
TCK-1133,2026-03-17 13:00:00,2026-03-18 19:00:00,Hardware,Media,Cerrado,Ana Torres,María Pulido Martínez,367.62
TCK-1134,2026-05-23 13:00:00,2026-05-24 15:00:00,Hardware,Baja,Cerrado, Sin Asignar ,  david david rodríguez londoño  ,196.92
TCK-1135,2026-03-09 17:00:00,,hardware,,Abierto,Luis Gómez,  luisa nataly murillo  ,
TCK-1136,2026-05-24 13:00:00,2026-05-25 04:00:00,SOFTWARE,Alta,CERRADO,carlos mendoza,Fernando Caballero,0.0
TCK-1137,2026-03-19 14:00:00,2026-03-19 23:00:00,Hardware,Alta,Cerrado,Luis Gómez,William Becerra Escobar,75.74
TCK-1138,2026-05-18 10:00:00,,Impresoras,Baja,Abierto,carlos mendoza,Carmen Velandia Ramos,0.0
TCK-1139,2026-05-19 14:00:00,2026-05-20 00:00:00,Impresoras,,CERRADO,Carlos Mendoza,Rocío Toro Ángel,0.0
TCK-1140,2026-03-13 08:00:00,,Software,ALTA,En Proceso,Sofia Ramos,Patricia Leidy Méndez,0.0
TCK-1141,2026-01-26 13:00:00,2026-01-27 12:00:00,Hardware,ALTA,CERRADO,Luis Gómez,  emilio santiago gutiérrez cárdenas  ,78.64
TCK-1142,2026-04-27 09:00:00,2026-04-27 11:00:00,Hardware,Baja,Resuelto,Ana Torres,Martha Alba Velásquez,397.75
TCK-1143,2026-05-22 11:00:00,2026-05-23 01:00:00,hardware,Media,CERRADO,Luis Gómez,Antonio Ardila,398.55
TCK-1144,2026-03-12 10:00:00,2026-03-13 21:00:00,Redes y Accesos,Media,Resuelto,Carlos Mendoza,Marina Acosta,
TCK-1145,2026-01-04 13:00:00,2026-01-05 10:00:00,Hardware,Media,Resuelto,Luis Gómez,  socorro yulieth franco  ,376.02
TCK-1146,2026-01-17 15:00:00,,hardware,Baja,Abierto, Sin Asignar ,Daniel Andrés Granados,236.96
TCK-1147,2026-06-07 08:00:00,2026-06-08 04:00:00,Impresoras,,CERRADO,Carlos Mendoza,  juan andrés villa  ,0.0
TCK-1148,2026-04-13 14:00:00,2026-04-14 22:00:00,SOFTWARE,ALTA,Cerrado,Carlos Mendoza,Yeison Sandoval,0.0
TCK-1149,2026-02-07 09:00:00,2026-02-08 03:00:00,Laptops / Equipos,,Resuelto, Sin Asignar ,Marina Ortega Suárez,176.09
TCK-1150,2026-05-16 12:00:00,,Laptops / Equipos,Critical,Abierto,Sofia Ramos,  josé rico  ,356.85
TCK-1151,2026-06-16 16:00:00,2026-06-17 20:00:00,Impresoras,Media,Resuelto,Sofia Ramos,Flor Arévalo Sánchez,0.0
TCK-1152,2026-04-17 09:00:00,,Impresoras,Baja,En Proceso,carlos mendoza,Fabián Parra Maldonado,0.0
TCK-1153,2026-06-25 15:00:00,2026-06-25 21:00:00,hardware,Alta,Cerrado,Carlos Mendoza,Ana Paola Vargas,377.4
TCK-1154,2026-02-03 16:00:00,2026-02-05 04:00:00,Laptops / Equipos,Baja,Cerrado,carlos mendoza,  diana ángela calderón  ,189.73
TCK-1155,2026-04-19 08:00:00,,Laptops / Equipos,Baja,En Proceso,Luis Gómez,  eduardo jesús meneses torres  ,263.56
TCK-1156,2026-05-04 11:00:00,2026-05-05 10:00:00,hardware,Critical,Cerrado,Luis Gómez,  juan suárez  ,153.71
TCK-1157,2026-04-20 16:00:00,2026-04-22 04:00:00,Hardware,Critical,CERRADO,carlos mendoza,Adriana Rodríguez Vega,148.37
TCK-1158,2026-06-29 12:00:00,,Redes y Accesos,Alta,En Proceso,Ana Torres,Julio Sánchez,0.0
TCK-1159,2026-04-13 09:00:00,2026-04-13 11:00:00,Hardware,,Resuelto, Sin Asignar ,Jorge Felipe Velásquez Villamil,221.52
TCK-1160,2026-04-05 12:00:00,,hardware,Critical,En Proceso, Sin Asignar ,  eduardo alberto vega  ,45.25
TCK-1161,2026-06-08 08:00:00,2026-06-09 02:00:00,Impresoras,,Cerrado,Sofia Ramos,Liliana Salazar Hernández,0.0
TCK-1162,2026-03-11 11:00:00,2026-03-11 19:00:00,Redes y Accesos,ALTA,CERRADO,Carlos Mendoza,Tatiana Rivera Andrade,0.0
TCK-1163,2026-05-05 16:00:00,,Hardware,Media,En Proceso,Sofia Ramos,María Gutiérrez León,46.3
TCK-1164,2026-02-24 10:00:00,,Redes y Accesos,Baja,En Proceso,Carlos Mendoza,  adela caicedo carvajal  ,0.0
TCK-1165,2026-02-14 10:00:00,,Laptops / Equipos,,Abierto,Ana Torres,Mariela Romero,420.01
TCK-1166,2026-01-19 14:00:00,2026-01-20 18:00:00,Hardware,ALTA,Cerrado,Carlos Mendoza,Tomás Mosquera,296.36
TCK-1167,2026-06-13 14:00:00,,Hardware,ALTA,En Proceso,Carlos Mendoza,Ignacio Arturo García Arias,102.5
TCK-1168,2026-04-28 13:00:00,2026-04-29 17:00:00,hardware,Alta,Cerrado,Ana Torres,Carlos Ballesteros Prada,
TCK-1169,2026-03-21 13:00:00,2026-03-22 11:00:00,hardware,Media,Resuelto,Carlos Mendoza,Andrea Alexandra Durán Medina,74.73
TCK-1170,2026-03-31 13:00:00,2026-04-01 05:00:00,Hardware,Media,Resuelto,Luis Gómez,  yamile enith vera  ,309.15
TCK-1171,2026-06-17 09:00:00,2026-06-18 17:00:00,Impresoras,Critical,Resuelto, Sin Asignar ,Elena Villa Rivera,0.0
TCK-1172,2026-05-25 17:00:00,,hardware,,En Proceso,Luis Gómez,  maría adriana gonzález  ,52.78
TCK-1173,2026-03-19 12:00:00,2026-03-19 16:00:00,Redes y Accesos,Critical,CERRADO,Carlos Mendoza,Elizabeth Martínez,0.0
TCK-1174,2026-01-15 13:00:00,,Hardware,,En Proceso,Carlos Mendoza,Edinson Ávila,263.39
TCK-1175,2026-05-22 08:00:00,,hardware,Critical,Abierto,carlos mendoza,  hernán gonzález ramos  ,310.4
TCK-1176,2026-01-16 15:00:00,2026-01-17 13:00:00,SOFTWARE,Alta,Cerrado, Sin Asignar ,Jairo Muñoz López,
TCK-1177,2026-04-23 15:00:00,2026-04-25 01:00:00,Laptops / Equipos,Media,CERRADO,Luis Gómez,Jhoan Daniel Rodríguez Sandoval,155.79
TCK-1178,2026-03-28 17:00:00,2026-03-29 15:00:00,Hardware,Baja,Cerrado,Carlos Mendoza,Óscar Jhon Cárdenas Calderón,205.55
TCK-1179,2026-06-18 17:00:00,2026-06-19 15:00:00,Hardware,Critical,Resuelto,carlos mendoza,  lina patricia caicedo  ,187.91
TCK-1180,2026-06-28 14:00:00,2026-06-28 20:00:00,Redes y Accesos,Critical,Resuelto,Sofia Ramos,Kelly Cardona Muñoz,0.0
TCK-1181,2026-02-02 16:00:00,2026-02-03 20:00:00,Laptops / Equipos,Baja,Cerrado,Carlos Mendoza,Carmen Martínez,106.53
TCK-1182,2026-05-05 11:00:00,2026-05-05 20:00:00,Software,Alta,Resuelto,Luis Gómez,Luis Blanco Díaz,0.0
TCK-1183,2026-05-19 16:00:00,2026-05-20 14:00:00,hardware,Critical,Cerrado,Ana Torres,Andrés Danilo Trujillo,94.04
TCK-1184,2026-06-27 17:00:00,2026-06-28 22:00:00,Hardware,ALTA,Resuelto,Luis Gómez,Tatiana Leidy Díaz,134.01
TCK-1185,2026-03-14 15:00:00,2026-03-16 02:00:00,Software,Baja,Resuelto,Sofia Ramos,Steven Juan Salazar Rojas,0.0
TCK-1186,2026-06-23 17:00:00,,Impresoras,Baja,Abierto,Sofia Ramos,Junior Alberto Chacón Rodríguez,0.0
TCK-1187,2026-02-11 11:00:00,2026-02-11 20:00:00,hardware,Baja,CERRADO,Carlos Mendoza,Liliana Vásquez López,439.58
TCK-1188,2026-01-27 16:00:00,2026-01-28 11:00:00,Hardware,Media,Cerrado,Luis Gómez,Angélica Acevedo Vergara,266.41
TCK-1189,2026-01-24 11:00:00,,Redes y Accesos,Alta,Abierto,Sofia Ramos,  claudia gloria rojas  ,0.0
TCK-1190,2026-03-02 14:00:00,2026-03-03 14:00:00,Software,Alta,Cerrado,Luis Gómez,Martha Adriana Contreras Hernández,0.0
TCK-1191,2026-06-16 13:00:00,2026-06-16 22:00:00,Hardware,Baja,Resuelto,Sofia Ramos,Teresa Elena Hernández Pérez,86.62
TCK-1192,2026-04-25 17:00:00,2026-04-25 23:00:00,Hardware,Baja,Cerrado,Ana Torres,Ana Barragán,283.43
TCK-1193,2026-05-16 14:00:00,2026-05-17 09:00:00,Software,Baja,Cerrado,Carlos Mendoza,  esther clara leal rangel  ,0.0
TCK-1194,2026-06-09 15:00:00,2026-06-09 23:00:00,hardware,ALTA,Cerrado, Sin Asignar ,Edinson Rendón,323.34
TCK-1195,2026-02-06 12:00:00,,Hardware,Critical,Abierto,Luis Gómez,Camilo Luis Camargo,219.95
TCK-1196,2026-01-22 16:00:00,,Hardware,Critical,En Proceso, Sin Asignar ,Luz Zapata,494.4
TCK-1197,2026-04-10 15:00:00,2026-04-11 16:00:00,Redes y Accesos,Baja,Cerrado,carlos mendoza,  javier fernando saavedra buitrago  ,0.0
TCK-1198,2026-03-30 11:00:00,2026-03-31 09:00:00,Software,Alta,Cerrado,Luis Gómez,Omar Moreno,0.0
TCK-1199,2026-02-14 15:00:00,,SOFTWARE,Media,Abierto,Ana Torres,  lilia rangel peña  ,0.0
TCK-1200,2026-04-28 08:00:00,,Software,Alta,En Proceso,Ana Torres,Héctor Polo Martínez,0.0
TCK-1201,2026-03-21 16:00:00,,hardware,Critical,Abierto,Sofia Ramos,Joel Fernando Ospina López,381.58
